offset_days,day_index,calendar,total_delta_v_km_s,saving_percent,earth_speed_km_s,r1_au
6,187,2026-07-07,16.357746549492873,1.823484691460364,29.291673587911053,1.0166438160634321
7,188,2026-07-08,16.35998043545248,1.8230350131321889,29.29469281258834,1.0166403145721696
8,189,2026-07-09,16.36230249441482,1.8225677403581313,29.297902256811927,1.0166320068030172
9,190,2026-07-10,16.364599421822447,1.822105679927078,29.301156541719433,1.0166185633761988
10,191,2026-07-11,16.3667418059827,1.821674847096011,29.30428909739289,1.0165996472526375
11,192,2026-07-12,16.368594928118274,1.8213022929398666,29.30712610509598,1.0165749394476342
12,193,2026-07-13,16.37003689367411,1.8210124676513317,29.309510047342684,1.0165441712701642
13,194,2026-07-14,16.370980439573426,1.8208228542005631,29.31132810498466,1.0165071572670883
14,195,2026-07-15,16.371390705011326,1.8207404160350542,29.31253531621319,1.0164638200473775
15,196,2026-07-16,16.371291058662187,1.8207604383816596,29.31316214823601,1.0164141989984936
16,197,2026-07-17,16.370754333034707,1.8208682898344255,29.31330301884888,1.0163584402726142
17,198,2026-07-18,16.369884048078553,1.8210431857009997,29.313091776814268,1.0162967723669802
18,199,2026-07-19,16.368793919460256,1.821262293418546,29.312675001896228,1.0162294758243742
19,200,2026-07-20,16.367592308341205,1.8215038485067405,29.31219181988069,1.0161568551684705
20,201,2026-07-21,16.366373998564985,1.8217488035246545,29.31176332289414,1.0160792177364955
21,202,2026-07-22,16.365218223015564,1.8219812254123846,29.311490153041408,1.0159968603288387
22,203,2026-07-23,16.364190495791572,1.8221879300766877,29.311455034243256,1.0159100622179547
23,204,2026-07-24,16.36334597957481,1.8223578089924743,29.31172727792381,1.0158190822153703
24,205,2026-07-25,16.362732849646225,1.8224811563902956,29.312367255592637,1.0157241576278762
25,206,2026-07-26,16.362394805644023,1.8225491676345096,29.313429736964512,1.0156255034662176
26,207,2026-07-27,16.36237235216023,1.8225536851805766,29.314965606252816,1.0155233108674255
27,208,2026-07-28,16.36270276027332,1.82248720995105,29.317021847293685,1.0154177442315993
28,209,2026-07-29,16.36341882285825,1.822343155358223,29.31963994805031,1.0153089370347288
29,210,2026-07-30,16.364546681620844,1.822116287657777,29.322853089104058,1.0151969866578159
30,211,2026-07-31,16.36610313093672,1.821803270430521,29.326682645925352,1.015081948847736
31,212,2026-08-01,16.3680928501424,1.8214032214602887,29.331134594798836,1.0149638325597083
32,213,2026-08-02,16.370505940269176,1.8209182055597606,29.336196312070076,1.0148425959066596
33,214,2026-08-03,16.37331595377948,1.8203536248785168,29.34183400922004,1.0147181437944863
34,215,2026-08-04,16.376478395154464,1.819718511010754,29.347990768232023,1.0145903276588064
35,216,2026-08-05,16.37992958307852,1.819025741173531,29.35458502581543,1.0144589476756125
36,217,2026-08-06,16.383585943570274,1.818292165357478,29.361509588252606,1.0143237579904893
37,218,2026-08-07,16.387344299068186,1.8175385326007387,29.368631909074548,1.0141844758611616
38,219,2026-08-08,16.391084393972964,1.8167889702357585,29.375797250540607,1.0140407958948199
39,220,2026-08-09,16.394675336209417,1.8160696834715297,29.382836932122494,1.0138924103395863
40,221,2026-08-10,16.397987172962097,1.8154066360817147,29.389583274180687,1.0137390351740316
