day_index,calendar,rp_au,rp_km,r1_au,r1_km,earth_speed_km_s,earth_radial_speed_km_s,semi_major_axis_au,eccentricity,transfer_aphelion_speed_km_s,transfer_perihelion_speed_km_s,half_period_days,v_inf_no_moon_km_s,no_moon_launch_km_s,no_moon_residual_km_s,no_moon_reentry_km_s,no_moon_total_km_s,flyby_periapsis_radius_km,flyby_periapsis_altitude_km,flyby_side,flyby_turning_angle_deg,flyby_raw_delta_v_km_s,flyby_useful_delta_v_km_s,flyby_v_inf_after_km_s,flyby_launch_km_s,flyby_residual_km_s,flyby_reentry_km_s,flyby_total_km_s,saving_km_s,saving_percent
11,2026-01-12,0.2,29919574.14,0.9835125411877359,147131381.96843132,30.28296822189424,0.08302661062697543,0.591756270593868,0.6620230153213479,17.460099866287056,85.86113594441812,83.13477663497409,12.822868355607184,17.012218173065104,0.0,0.0,17.012218173065104,1837.4,100.0,leading,1.829995188646524,0.4095378435638488,0.4095378435638488,12.413330512043336,16.705699288086105,0.008190756871276976,0.0,16.71389004495738,0.29832812810772324,1.7536109934215194
12,2026-01-13,0.2,29919574.14,0.9835628194039618,147138903.48252133,30.28386470777375,0.09101693948743593,0.591781409701981,0.6620373727172009,17.459282743448934,85.86150679958784,83.14007431352282,12.824581964324814,17.013509833729774,0.0,0.0,17.013509833729774,1837.4,100.0,leading,1.8295139429097735,0.40948486887308727,0.40948486887308727,12.415097095451726,16.707012006706297,0.008189697377461745,0.0,16.715201704083757,0.29830812964601705,1.7533603151926511
13,2026-01-14,0.2,29919574.14,0.9836176014881053,147147098.7656617,30.284400700059585,0.09862781941966177,0.5918088007440527,0.6620530148444064,17.458392511067483,85.86191083787045,83.1458466804493,12.826008188992102,17.01458493078297,0.0,0.0,17.01458493078297,1837.4,100.0,leading,1.8291135493805497,0.4094407886757264,0.4094407886757264,12.416567400316376,16.70810462947051,0.008188815773514529,0.0,16.716293445244023,0.2982914855389467,1.753151703391098
14,2026-01-15,0.2,29919574.14,0.9836766766922085,147155936.2904067,30.284518176455105,0.10588887851056873,0.5918383383461042,0.6620698811792065,17.457432615806226,85.8623464954722,83.15207156145588,12.827085560648879,17.015397094483028,0.0,0.0,17.015397094483028,1837.4,100.0,leading,1.8288111783525864,0.40940749663150583,0.40940749663150583,12.417678064017373,16.708930031701993,0.008188149932630116,0.0,16.71711818163462,0.29827891284840646,1.752994133443519
15,2026-01-16,0.2,29919574.14,0.9837398525933757,147165387.27070087,30.28416038950796,0.11283447046975027,0.5918699262966878,0.6620879164254992,17.456406206837944,85.86281234362426,83.15872871359713,12.827754182670017,17.015901141983125,0.0,0.0,17.015901141983125,1837.4,100.0,leading,1.8286235629437726,0.40938683810517157,0.40938683810517157,12.418367344564844,16.709442294920827,0.008187736762103432,0.0,16.71763003168293,0.2982711103001954,1.7528963515442313
16,2026-01-17,0.2,29919574.14,0.9838069587621835,147175426.21066535,30.283272214632426,0.11950695369078951,0.5919034793810917,0.6621070715632138,17.455316076173336,85.8633071156637,83.16580021173455,12.82795613845909,17.0160533906357,0.0,0.0,17.0160533906357,1837.4,100.0,leading,1.8285668997752613,0.4093805986463811,0.4093805986463811,12.418575539812709,16.709597025086182,0.008187611972927621,0.0,16.71778463705911,0.2982687535765898,1.7528668177588904
17,2026-01-18,0.2,29919574.14,0.983877852290033,147186031.73147804,30.281802497457747,0.12595970861382264,0.5919389261450164,0.6621273054257579,17.454164568889325,85.8638297477781,83.17327103102615,12.827637928568421,17.01581350183357,0.0,0.0,17.01581350183357,1837.4,100.0,leading,1.8286561817942637,0.4093904298803931,0.4093904298803931,12.418247498688029,16.7093532263043,0.008187808597607862,0.0,16.71754103490191,0.2982724669316603,1.7529133526264813
18,2026-01-19,0.2,29919574.14,0.9839524247841797,147197187.61781517,30.279708100015952,0.13225907344900828,0.5919762123920899,0.6621485866943384,17.45295346964539,85.86437943051519,83.1811297842671,12.826754630370562,17.015147623528488,0.0,0.0,17.015147623528488,1837.4,100.0,leading,1.8289040480485619,0.40941772219784656,0.40941772219784656,12.417336908172716,16.708676494378686,0.008188354443956932,0.0,16.71686484882264,0.2982827747058465,1.7530425318989422
19,2026-01-20,0.2,29919574.14,0.9840306100010937,147208883.95978573,30.27695899779755,0.13848453027038252,0.5920153050005469,0.6621708960719938,17.45168387898741,85.86495566493114,83.18936952672706,12.82527511881014,17.0140323314582,0.0,0.0,17.0140323314582,1837.4,100.0,leading,1.8293193327128965,0.4094634444445975,0.4094634444445975,12.415811674365543,16.70754302212166,0.00818926888889195,0.0,16.71573229101055,0.2983000404476499,1.753258925552329
20,2026-01-21,0.2,29919574.14,0.9841123909930144,147221118.2220408,30.273543512537177,0.144726816900418,0.5920561954965072,0.6621942283159844,17.450356097728747,85.8655583150768,83.19798850993723,12.82318741480843,17.012458663521738,0.0,0.0,17.012458663521738,1837.4,100.0,leading,1.8299055705220866,0.4095279791114441,0.4095279791114441,12.413659435696985,16.705943699420374,0.008190559582228883,0.0,16.714134259002602,0.29832440451913556,1.7535643167134056
